collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link,spec_score,value_score,model_key,seller_count,mall_count,min_price_in_group,max_price_in_group,price_gap_in_group
2026-07-06 04:38:11,중고 ThinkPad,52831879092,레노버 레노버 씽크패드 T560 i7 16G 512G 15.6FHD 윈10 중고,371420,옥션,레노버,레노버,16GB,512GB,i7,https://link.auction.co.kr/gate/pcs?item-no=C627723693&sub-id=1&service-code=10000003,143.6,386.62,레노버|ThinkPad|i7|16GB|512GB,6,5,371420,1690000,1318580
2026-07-02 11:52:19,중고 ThinkPad,60356978146,레노버 씽크패드 T14s Gen1 10세대 i7 램16G SSD1TB Win11Pro ThinkPad 중고노트북,498820,G마켓,,,16GB,1TB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4774773878&sub-id=1003&service-code=10000003&lcd=100000002,169.2,339.2,레노버|ThinkPad T14S|i7|16GB|1TB,1,1,498820,498820,0
2026-06-26 10:38:46,중고 ThinkPad,60186668025,레노버 레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11 중고노트북,498820,옥션,레노버,레노버,16GB,1TB,i5,https://link.auction.co.kr/gate/pcs?item-no=F412964074&sub-id=1&service-code=10000003,149.2,299.11,레노버|ThinkPad X13|i5|16GB|1TB,3,3,498820,510710,11890
2026-06-22 08:28:29,중고 ThinkPad,58984633875,레노버 레노버 씽크패드 X390 i7 램16GB NVMe512GB Win11 중고노트북,486030,G마켓,레노버,레노버,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4680698861&sub-id=1003&service-code=10000003&lcd=100000002,143.6,295.46,레노버|ThinkPad X390|i7|16GB|512GB,4,4,486030,786880,300850
2026-07-06 04:38:11,중고 맥북,91180820657,Apple 2019 맥북프로 16 스페이스그레이 i7 16GB 512GB,490000,리테크브릿지,Apple,Apple,16GB,512GB,i7,https://smartstore.naver.com/main/products/13636309976,143.6,293.06,Apple|MacBook Pro 2019|i7|16GB|512GB,1,1,490000,490000,0
2026-06-26 23:53:43,리퍼 ThinkPad,58571344876,레노버 (현대Hmall)리퍼 씽크패드 노트북 32GB Win11 X13 SSD512GB 라이젠5Pro 4650U,659000,옥션,레노버,레노버,32GB,512GB,Ryzen 5,https://link.auction.co.kr/gate/pcs?item-no=F457619212&sub-id=1&service-code=10000003,171.6,260.39,레노버|ThinkPad X13|Ryzen 5|32GB|512GB,4,3,659000,882200,223200
2026-06-24 10:11:52,리퍼 맥북,59896965042,MacBook Pro 리퍼 중고맥북프로 2019 터치바 i7-9750H 32G SSD512G Pro560X 스페이스그레이 15인치,739100,G마켓,,,32GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4744559114&sub-id=1003&service-code=10000003&lcd=100000002,191.6,259.23,Apple|MacBook Pro 2019|i7|32GB|512GB,1,1,739100,739100,0
2026-07-09 04:12:36,중고 ThinkPad,57942358741,레노버 레노버 씽크패드 X390 i5 16G 512G 윈11 터치스크린 중고노트북,480150,옥션,레노버,레노버,16GB,512GB,i5,https://link.auction.co.kr/gate/pcs?item-no=F413177815&sub-id=1&service-code=10000003,123.6,257.42,레노버|ThinkPad X390|i5|16GB|512GB,6,5,480150,749880,269730
2026-07-11 03:41:20,리퍼 갤럭시북,59638617098,삼성전자 NT951XCJ 리퍼 겔럭시북 인텔10세대 i7-10510U DDR4 16G NVMe512G 윈도우11 15.6풀HD,558600,G마켓,삼성,삼성전자,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=3346415558&sub-id=1003&service-code=10000003&lcd=100000002,143.6,257.07,삼성전자|NT951XCJ|i7|16GB|512GB,4,4,558600,588000,29400
2026-07-11 03:41:20,리퍼 ThinkPad,58571338671,레노버 (현대Hmall)리퍼 씽크패드 X13 노트북 RAM32GB 33.78cm SSD1TB 라이젠5프로,795840,옥션,레노버,레노버,32GB,1TB,Ryzen 5,https://link.auction.co.kr/gate/pcs?item-no=F457619211&sub-id=1&service-code=10000003,197.2,247.79,레노버|ThinkPad X13|Ryzen 5|32GB|1TB,5,3,795840,1046200,250360
2026-07-11 03:41:20,중고 맥북,91182410982,애플 맥북 프로 2020 13인치 i7 A2251 16GB 512GB SSD 스페이스그레이,599000,리뉴올노트북,Apple,Apple,16GB,512GB,i7,https://smartstore.naver.com/main/products/13637900273,143.6,239.73,Apple|애플맥북프로202013인치I7A225116GB512GB|i7|16GB|512GB,1,1,599000,599000,0
2026-06-24 22:15:52,리퍼 ThinkPad,60088007291,레노버 LENOVO 리퍼노트북 ThinkPad T14s 인텔10세대 i7-10510U 16G NVMe512G UHD 윈도우11 14인치 507987,616300,11번가,레노버,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9140157326&tid=1000000061,143.6,233.0,레노버|ThinkPad T14S|i7|16GB|512GB,1,1,616300,616300,0
2026-06-22 22:57:16,리퍼 ThinkPad,60501295626,[리퍼] 레노버 씽크패드 X1 카본 GEN9 i7 램16GB 1TB Win11Pro,799000,GSSHOP,레노버,레노버,16GB,1TB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1098282715&vodFlag=N&prdseqnum=1098282715&utm_source=price&utm_medium=affiliate&utm_campaign=naver,169.2,211.76,레노버|ThinkPad|i7|16GB|1TB,1,1,799000,799000,0
2026-06-18 08:18:16,중고 노트북,91121813923,LG 노트북 i5-8세대 15U480 16G SSD512G MX150 윈10,589000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13577303512,123.6,209.85,LG전자|15U480|i5|16GB|512GB,1,1,589000,589000,0
2026-07-09 04:12:36,리퍼 ThinkPad,90740442258,Lenovo 리퍼제품 ThinkPad P52 15.6 FHD Core i7-8850H 2.6GHz 32GB RAM 1TB 솔리드 스테이트 드라이브 Windows 11 Pro,1096560,볼트르마켓,레노버,레노버,32GB,1TB,i7,https://smartstore.naver.com/main/products/13195931161,217.2,198.07,레노버|ThinkPad|i7|32GB|1TB,2,1,1096560,1250800,154240
2026-07-11 03:41:20,리퍼 갤럭시북,60516777900,삼성 갤럭시북 Pro NT931XDB (i5-1135G7 16GB S512GB Win11P) [리퍼상품],643000,GSSHOP,삼성,삼성전자,16GB,512GB,i5,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1127474074&vodFlag=N&prdseqnum=1127474074&utm_source=price&utm_medium=affiliate&utm_campaign=naver,123.6,192.22,삼성전자|NT931XDB|i5|16GB|512GB,1,1,643000,643000,0
2026-07-11 03:41:20,리퍼 갤럭시북,59638740599,삼성전자 리퍼 겔럭시북 NT951XDB 인텔11세대 i7-1165G7 DDR4 16G NVMe512G Iris 윈도우11 15.6풀HD,748600,옥션,삼성,삼성전자,16GB,512GB,i7,https://link.auction.co.kr/gate/pcs?item-no=F532785429&sub-id=1&service-code=10000003,143.6,191.82,삼성전자|NT951XDB|i7|16GB|512GB,3,3,748600,756480,7880
2026-07-08 03:43:14,리퍼 맥북,89761549537,Apple 리퍼제품 MacBook Pro 15인치 Core i7 2.8GHz 레티나MGXG2LL/A 16GB RAM 1TB 솔리드 스테이트 드라이브리퍼제품,932640,에스아울렛,Apple,Apple,16GB,1TB,i7,https://smartstore.naver.com/main/products/12217038832,169.2,181.42,Apple|MacBook Pro|i7|16GB|1TB,2,2,932640,1016400,83760
2026-07-11 03:41:20,리퍼 ThinkPad,90847758958,Lenovo 리퍼제품 레노버 씽크패드 T14s Gen2 노트북 14인치 FHD1920x1080 윈도우 11 프로 코어 i5-1145G7 512GB SSD 16GB RAM 지문,682240,다정아울렛,레노버,레노버,16GB,512GB,i5,https://smartstore.naver.com/main/products/13303248626,123.6,181.17,레노버|ThinkPad T14S|i5|16GB|512GB,1,1,682240,682240,0
2026-06-26 10:38:46,중고 노트북,91174980683,LG 울트라PC 11세대 SSD512GB 노트북 인텔i7 16GB MX450 15U50P,809000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i7,https://smartstore.naver.com/main/products/13630470019,143.6,177.5,LG전자|15U50P|i7|16GB|512GB,1,1,809000,809000,0
2026-06-26 23:53:43,중고 ThinkPad,91183159853,레노버 ThinkPad E16 Gen1 13세대 i5-1335U 램16GB NVME512GB 15.6 윈도11 중고노트북,698000,도담코퍼레이션,씽크패드,레노버,16GB,512GB,i5,https://smartstore.naver.com/main/products/13638649144,123.6,177.08,레노버|ThinkPad|i5|16GB|512GB,2,2,698000,717040,19040
2026-07-11 03:41:20,중고 노트북,91106801324,삼성 노트북 플러스2 i5 11세대-1135G7 16G SSD512G 윈11 15.6인치,699000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13562290957,123.6,176.82,노트북 플러스2|삼성노트북플러스2I511세대1135G716GSSD512|i5|16GB|512GB,1,1,699000,699000,0
2026-07-11 03:41:20,중고 노트북,91175258335,LG 노트북 gram 10세대 14ZB995 윈11 인텔i5 16GB SSD512GB,709000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13630747671,123.6,174.33,LG전자|LG노트북GRAM10세대14ZB995윈11인텔I516G|i5|16GB|512GB,1,1,709000,709000,0
2026-07-07 04:15:59,리퍼 맥북,60738949139,애플 리퍼 애플 맥북프로 A2338 (M1/16G/SSD1TB/13.3인치),920550,옥션,Apple,Apple,16GB,1TB,Apple M1,https://link.auction.co.kr/gate/pcs?item-no=F370317976&sub-id=1&service-code=10000003,159.2,172.94,Apple|MacBook Pro|Apple M1|16GB|1TB,3,2,920550,925400,4850
2026-06-20 03:33:22,중고 노트북,89732447000,삼성전자 노트북 플러스2 윈11 i3 11세대 16G SSD1TB 삼성노트북,769000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,1TB,i3,https://smartstore.naver.com/main/products/12187936295,129.2,168.01,노트북 플러스2|삼성전자노트북플러스2윈11I311세대16GSSD1TB삼|i3|16GB|1TB,1,1,769000,769000,0
2026-07-11 03:41:20,중고 갤럭시북,58891874979,중고노트북 갤럭시북 프로 코어I5 11세대 / Win11 / 16gb / 512gb,749000,11번가,갤럭시북 프로,,16GB,512GB,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100234754&tid=1000000061,123.6,165.02,갤럭시북 프로|중고노트북갤럭시북프로코어I511세대WIN1116GB51|i5|16GB|512GB,1,1,749000,749000,0
2026-06-20 03:33:22,중고 노트북,89732394109,삼성 노트북 플러스2 i3 11세대-1115G4 16G SSD512G 윈11 15.6인치,629000,일체형pc  중고노트북,노트북 플러스2,삼성전자,16GB,512GB,i3,https://smartstore.naver.com/main/products/12187883404,103.6,164.71,노트북 플러스2|삼성노트북플러스2I311세대1115G416GSSD512|i3|16GB|512GB,1,1,629000,629000,0
2026-06-20 12:31:34,리퍼 LG그램,59942504973,[리퍼] LG 그램15 15Z90N 10세대 i7 램16G SSD512G 윈11 초경량,879000,GSSHOP,LG전자,LG전자,16GB,512GB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1119900989&vodFlag=N&prdseqnum=1119900989&utm_source=price&utm_medium=affiliate&utm_campaign=naver,143.6,163.37,LG전자|리퍼LG그램1515Z90N10세대I7램16GSSD512|i7|16GB|512GB,1,1,879000,879000,0
2026-07-11 03:41:20,중고 LG그램,91175156047,LG Gram 노트북 i7-1165G7 가벼운 사무용 16GB SSD1TB 윈도우11,1059000,일체형pc  중고노트북,LG전자,LG전자,16GB,1TB,i7,https://smartstore.naver.com/main/products/13630645383,169.2,159.77,LG전자|LGGRAM노트북I71165G7가벼운사무용16GBSSD|i7|16GB|1TB,1,1,1059000,1059000,0
2026-07-11 03:41:20,중고 LG그램,91175148329,LG 그램 11세대 인텔i7 램16기가 SSD512GB WIN11 노트북 14ZB95N,899000,일체형pc  중고노트북,LG전자,LG전자,16GB,512GB,i7,https://smartstore.naver.com/main/products/13630637665,143.6,159.73,LG전자|LG그램11세대인텔I7램16기가SSD512GBWIN11|i7|16GB|512GB,1,1,899000,899000,0
2026-07-03 04:07:06,중고 LG그램,60290940239,엘지 그램 gram 노트북 중고 15인치 i7 10세대 15Z95N RAM 16G SSD512G win11,910000,11번가,LG전자,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9399280414&tid=1000000061,143.6,157.8,LG전자|엘지그램GRAM노트북중고15인치I710세대15Z95NR|i7|16GB|512GB,1,1,910000,910000,0
2026-07-11 03:41:20,중고 갤럭시북,58892234744,중고노트북 갤럭시북 프로 코어I5 11세대 / Win11 / 16gb / 512gb,816110,롯데ON,,삼성전자,16GB,512GB,i5,https://www.lotteon.com/p/product/LO2620033801?sitmNo=LO2620033801_2620033802&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,123.6,151.45,삼성전자|중고노트북갤럭시북프로코어I511세대WIN1116GB51|i5|16GB|512GB,1,1,816110,816110,0
2026-06-22 01:48:13,리퍼 LG그램,59520541242,[리퍼] LG 그램 15Z90N 10세대 i7 16G 512G Win10,999000,GSSHOP,LG전자,LG전자,16GB,512GB,i7,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1023188843&vodFlag=N&prdseqnum=1023188843&utm_source=price&utm_medium=affiliate&utm_campaign=naver,143.6,143.74,LG전자|리퍼LG그램15Z90N10세대I716G512GWIN10|i7|16GB|512GB,3,3,999000,1257900,258900
2026-07-11 03:41:20,리퍼 맥북,90740303951,Apple 리퍼제품 MacBook Air 2020 13.3인치인텔 코어 i7 16GB RAM 1TB SSD 스토리지 - 스페이스 그레이리퍼제품,1216160,볼트르마켓,Apple,Apple,16GB,1TB,i7,https://smartstore.naver.com/main/products/13195792854,169.2,139.13,Apple|MacBook Air 2020|i7|16GB|1TB,1,1,1216160,1216160,0
2026-07-11 03:41:20,중고 LG그램,91077520348,중고 LG그램 14Z90Q i5-12세대 RAM16GB NVME512GB 14인치 윈도우11 무선마우스증정,899000,동우네트워크,LG그램,LG전자,16GB,512GB,i5,https://smartstore.naver.com/main/products/13533009995,123.6,137.49,LG전자|중고LG그램14Z90QI512세대RAM16GBNVME5|i5|16GB|512GB,1,1,899000,899000,0
2026-07-03 04:07:06,중고 LG그램,60072780398,엘지 그램 gram 노트북 중고 17인치 i7 10세대 17Z995 RAM 16G SSD512G,1050000,11번가,LG전자,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9359433336&tid=1000000061,143.6,136.76,LG전자|엘지그램GRAM노트북중고17인치I710세대17Z995R|i7|16GB|512GB,1,1,1050000,1050000,0
2026-07-11 03:41:20,중고 LG그램,60291160166,엘지 그램 gram 노트북 중고 16인치 i7 11세대 RAM 16G SSD512G,1050000,11번가,LG전자,,16GB,512GB,i7,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9399280659&tid=1000000061,143.6,136.76,LG전자|엘지그램GRAM노트북중고16인치I711세대RAM16GS|i7|16GB|512GB,1,1,1050000,1050000,0
