collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link,spec_score,value_score,model_key,seller_count,mall_count,min_price_in_group,max_price_in_group,price_gap_in_group,buy_decision,decision_reason
2026-07-02 04:20:51,중고 ThinkPad,60356978146,레노버 씽크패드 T14s Gen1 10세대 i7 램16G SSD1TB Win11Pro ThinkPad 중고노트북,498820,G마켓,,,16GB,1TB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4774773878&sub-id=1003&service-code=10000003&lcd=100000002,169.2,339.2,레노버|ThinkPad T14S|i7|16GB|1TB,1,1,498820,498820,0,데이터 부족,가성비 점수는 높지만 동일 모델의 비교 판매처가 부족합니다.
2026-06-26 10:38:46,중고 ThinkPad,60186668025,레노버 레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11 중고노트북,498820,옥션,레노버,레노버,16GB,1TB,i5,https://link.auction.co.kr/gate/pcs?item-no=F412964074&sub-id=1&service-code=10000003,149.2,299.11,레노버|ThinkPad X13|i5|16GB|1TB,3,3,498820,510710,11890,구매 추천,"가성비 점수가 높고, 여러 판매처 비교가 가능한 상품입니다."
2026-06-22 08:28:29,중고 ThinkPad,58984633875,레노버 레노버 씽크패드 X390 i7 램16GB NVMe512GB Win11 중고노트북,486030,G마켓,레노버,레노버,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4680698861&sub-id=1003&service-code=10000003&lcd=100000002,143.6,295.46,레노버|ThinkPad X390|i7|16GB|512GB,3,3,486030,777670,291640,구매 추천,"가성비 점수가 높고, 여러 판매처 비교가 가능한 상품입니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다."
2026-07-02 04:20:51,중고 맥북,91180820657,Apple 2019 맥북프로 16 스페이스그레이 i7 16GB 512GB,490000,리테크브릿지,Apple,Apple,16GB,512GB,i7,https://smartstore.naver.com/main/products/13636309976,143.6,293.06,Apple|MacBook Pro 2019|i7|16GB|512GB,1,1,490000,490000,0,데이터 부족,가성비 점수는 높지만 동일 모델의 비교 판매처가 부족합니다.
2026-07-02 04:20:51,리퍼 갤럭시북,59638617098,삼성전자 NT951XCJ 리퍼 겔럭시북 인텔10세대 i7-10510U DDR4 16G NVMe512G 윈도우11 15.6풀HD,546840,G마켓,삼성,삼성전자,16GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=3346415558&sub-id=1003&service-code=10000003&lcd=100000002,143.6,262.6,삼성전자|NT951XCJ|i7|16GB|512GB,4,4,546840,588000,41160,구매 고려,"가성비가 양호하고, 동일 모델의 판매처 비교가 가능합니다."
2026-06-26 23:53:43,리퍼 ThinkPad,58571344876,레노버 (현대Hmall)리퍼 씽크패드 노트북 32GB Win11 X13 SSD512GB 라이젠5Pro 4650U,659000,옥션,레노버,레노버,32GB,512GB,Ryzen 5,https://link.auction.co.kr/gate/pcs?item-no=F457619212&sub-id=1&service-code=10000003,171.6,260.39,레노버|ThinkPad X13|Ryzen 5|32GB|512GB,3,3,659000,882200,223200,구매 고려,"가성비가 양호하고, 동일 모델의 판매처 비교가 가능합니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다."
2026-06-24 10:11:52,리퍼 맥북,59896965042,MacBook Pro 리퍼 중고맥북프로 2019 터치바 i7-9750H 32G SSD512G Pro560X 스페이스그레이 15인치,739100,G마켓,,,32GB,512GB,i7,https://link.gmarket.co.kr/gate/pcs?item-no=4744559114&sub-id=1003&service-code=10000003&lcd=100000002,191.6,259.23,Apple|MacBook Pro 2019|i7|32GB|512GB,1,1,739100,739100,0,데이터 부족,가성비 점수는 높지만 동일 모델의 비교 판매처가 부족합니다.
2026-07-02 04:20:51,중고 ThinkPad,58967851413,레노버 레노버 씽크패드 X390 i5 16G 512G 윈11 터치스크린 중고노트북,490050,G마켓,레노버,레노버,16GB,512GB,i5,https://link.gmarket.co.kr/gate/pcs?item-no=4607041206&sub-id=1003&service-code=10000003&lcd=100000002,123.6,252.22,레노버|ThinkPad X390|i5|16GB|512GB,5,4,490050,741100,251050,구매 고려,"가성비가 양호하고, 동일 모델의 판매처 비교가 가능합니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다."
2026-06-23 10:08:59,리퍼 ThinkPad,58571338671,레노버 (현대Hmall)리퍼 씽크패드 X13 노트북 RAM32GB 33.78cm SSD1TB 라이젠5프로,795840,옥션,레노버,레노버,32GB,1TB,Ryzen 5,https://link.auction.co.kr/gate/pcs?item-no=F457619211&sub-id=1&service-code=10000003,197.2,247.79,레노버|ThinkPad X13|Ryzen 5|32GB|1TB,5,3,795840,1046200,250360,구매 고려,"가성비가 양호하고, 동일 모델의 판매처 비교가 가능합니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다."
2026-07-02 04:20:51,리퍼 ThinkPad,89251365216,레노버 씽크패드 i7 16G 512G 사무용 인강용 터치 리퍼노트북 윈도우11,599000,피씨솔루션,레노버,레노버,16GB,512GB,i7,https://smartstore.naver.com/main/products/11706854749,143.6,239.73,레노버|ThinkPad|i7|16GB|512GB,5,4,599000,1690000,1091000,보류,현재 기준으로는 가성비 점수가 상대적으로 낮습니다. 다만 판매처별 가격 차이가 커서 최저가 판매처 확인이 필요합니다.
