group_key,product_id,title,brand,ram,ssd,cpu,mall,first_price,latest_price,min_price,max_price,avg_price,change_rate,period_change_rate,observed_count,seller_count,mall_count,is_latest_min,buy_timing_score,first_date,latest_date,timing_signal,link
삼성전자|갤럭시북프로코어I511세대16GB512GB|i5|16GB|512GB,58891874979,중고노트북 갤럭시북 프로 코어I5 11세대 / Win11 / 16gb / 512gb,삼성전자,16GB,512GB,i5,11번가,806550,749000,749000,849000,824126,-9.12,-7.14,154,2,2,Y,89.0,2026-06-18,2026-06-26,구매 적기,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100234754&tid=1000000061
Apple|MACBOOKPRO|i7|16GB|1TB,89761549537,Apple 리퍼제품 MacBook Pro 15인치 Core i7 2.8GHz 레티나MGXG2LL/A 16GB RAM 1TB 솔리드 스테이트 드라이브리퍼제품,Apple,16GB,1TB,i7,에스아울렛,932640,932640,932640,1016400,974520,-4.3,0.0,162,2,2,Y,67.3,2026-06-18,2026-06-26,구매 유리,https://smartstore.naver.com/main/products/12217038832
LG전자|16Z90S16||16GB|512GB,58891973447,중고노트북 LG 그램 16인치 16z90s 16인치/16GB/512GB,LG전자,16GB,512GB,,11번가,1598000,1598000,1598000,1708100,1629438,-1.93,0.0,114,2,2,Y,56.7,2026-06-18,2026-06-26,최근 최저가,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9100233135&tid=1000000061
레노버|X13|Ryzen 5|32GB|512GB,58571344876,레노버 (현대Hmall)리퍼 씽크패드 노트북 32GB Win11 X13 SSD512GB 라이젠5Pro 4650U,레노버,32GB,512GB,Ryzen 5,옥션,671040,659000,659000,671040,670691,-1.74,-1.79,138,2,2,Y,55.8,2026-06-18,2026-06-26,최근 최저가,https://link.auction.co.kr/gate/pcs?item-no=F457619212&sub-id=1&service-code=10000003
레노버|X390|i5|16GB|512GB,58967851413,레노버 레노버 씽크패드 X390 i5 16G 512G 윈11 터치스크린 중고노트북,레노버,16GB,512GB,i5,G마켓,483620,490050,483620,741100,508791,-3.68,1.33,150,5,4,N,46.6,2026-06-18,2026-06-26,가격 관찰,https://link.gmarket.co.kr/gate/pcs?item-no=4607041206&sub-id=1003&service-code=10000003&lcd=100000002
삼성전자|NT951XCJ|i7|16GB|512GB,59638617098,삼성전자 NT951XCJ 리퍼 갤럭시북 인텔10세대 i7-10510U DDR4 16G NVMe512G 윈도우11 15.6풀HD,삼성전자,16GB,512GB,i7,G마켓,574480,576240,574480,588000,584781,-1.46,0.31,176,4,4,N,36.6,2026-06-21,2026-06-26,가격 관찰,https://link.gmarket.co.kr/gate/pcs?item-no=3346415558&sub-id=1003&service-code=10000003&lcd=100000002
레노버|X13GEN1|i5|16GB|1TB,60186668025,레노버 레노버 씽크패드 X13 GEN1 10세대 i5 16GB 1TB 윈11 중고노트북,레노버,16GB,1TB,i5,옥션,493730,498820,493730,512050,504218,-1.07,1.03,186,3,3,N,31.8,2026-06-18,2026-06-26,가격 관찰,https://link.auction.co.kr/gate/pcs?item-no=F412964074&sub-id=1&service-code=10000003
삼성전자|NT951XDB|i7|16GB|512GB,59638631750,삼성전자 리퍼 갤럭시북 NT951XDB 인텔11세대 i7-1165G7 DDR4 16G NVMe512G Iris 윈도우11 15.6풀HD,삼성전자,16GB,512GB,i7,G마켓,764360,772240,764360,788000,780418,-1.05,1.03,132,3,3,N,31.7,2026-06-21,2026-06-26,가격 관찰,https://link.gmarket.co.kr/gate/pcs?item-no=4103496301&sub-id=1003&service-code=10000003&lcd=100000002
레노버|X13|Ryzen 5|32GB|1TB,58570916035,[리퍼] 씽크패드 X13 노트북 RAM32GB 33.78cm SSD1TB 라이젠5프로,레노버,32GB,1TB,Ryzen 5,11번가,795840,804130,795840,804130,798934,0.65,1.04,217,4,3,N,27,2026-06-18,2026-06-25,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9034563657&tid=1000000061
LG전자|15Z90N10|i7|16GB|512GB,59812882007,[리퍼] LG 그램 15Z90N 10세대 i7 16G 512G Win10 573523,LG전자,16GB,512GB,i7,롯데ON,999000,1212620,879000,1257900,1102297,10.01,21.38,66,4,3,N,24,2026-06-19,2026-06-24,가격 관찰,https://www.lotteon.com/p/product/LO2666757200?sitmNo=LO2666757200_2666757201&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
