collected_at,keyword,product_id,title,price,mall,brand,maker,ram,ssd,cpu,link
2026-06-18 00:43:40,리퍼 노트북,89251365216,레노버 씽크패드 i7 16G 512G 사무용 인강용 터치 리퍼노트북 윈도우11,599000,피씨솔루션,레노버,레노버,16GB,512GB,i7,https://smartstore.naver.com/main/products/11706854749
2026-06-18 00:43:40,리퍼 노트북,59714830054,중고노트북 리퍼 LG 15인치 그램 15Z960 15인치 가정용 업무용 사무용 I7,483550,롯데ON,,LG전자,,,i7,https://www.lotteon.com/p/product/LO2659826825?sitmNo=LO2659826825_2659826826&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
2026-06-18 00:43:40,리퍼 노트북,59374835752,삼성 NT202B5B i5 사무용 인강용 리퍼 가성비 싼 저렴 저가 15인치 노트북,139000,11번가,삼성,삼성전자,,,i5,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9217540798&tid=1000000061
2026-06-18 00:43:40,리퍼 노트북,60117640282,LG그램 리퍼노트북 15ZD90N-VX50K 윈11프로 RAM 16 UP 오피스 당일발송,798490,이마트몰,LG전자,,,,Apple M1,http://emart.ssg.com/item/itemView.ssg?itemId=1000829650700&siteNo=6001&ckwhere=naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs
2026-06-18 00:43:40,리퍼 노트북,58708644746,중고노트북 리퍼 LG 15인치 올뉴그램 15Z980 15인치 가정용 업무용 사무용 I5,512050,롯데ON,,LG전자,,,i5,https://www.lotteon.com/p/product/LO2613087675?sitmNo=LO2613087675_2613087676&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
2026-06-18 00:43:40,리퍼 노트북,86511678624,삼성전자 NT371B5J i5 8G SSD256G 15인치 가정용 교육용 사무용,249000,리퍼코리아,삼성,삼성전자,8GB,256GB,i5,https://smartstore.naver.com/main/products/8967178301
2026-06-18 00:43:40,리퍼 노트북,55259669292,중고 노트북 리퍼 삼성노트북9 nt900x5l 15인치 가정용 사무용,288900,11번가,노트북9 ALWAYS,,,,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=8367084608&tid=1000000061
2026-06-18 00:43:40,리퍼 노트북,60117667430,LG그램 리퍼노트북 15ZD90N-VX50K 윈11프로 RAM 16 UP 오피스 당일발송,783490,SSG닷컴,LG전자,,,,Apple M1,http://www.ssg.com/item/itemView.ssg?itemId=1000829650700&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs
2026-06-18 00:43:40,리퍼 노트북,91098170541,Dell 리퍼제품 14인치 Latitude 7400 2-in-1 노트북리퍼제품,595440,제스트아울렛,DELL,DELL,,,,https://smartstore.naver.com/main/products/13553660174
2026-06-18 00:43:40,리퍼 노트북,58708708585,터치노트북 리퍼 삼성전자 노트북9 pen 13인치 사무용 I5,474050,롯데ON,,삼성전자,,,i5,https://www.lotteon.com/p/product/LO2613087655?sitmNo=LO2613087655_2613087656&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
